"time","brightness"
"2023-03-24 09:11:54.231377","127.69126846013401"
"2023-03-24 09:11:55.243824","132.81620996246133"
"2023-03-24 09:11:56.253781","138.71802109810955"
"2023-03-24 09:11:57.264229","143.22668808289396"
"2023-03-24 09:11:58.274510","143.797253864531"
"2023-03-24 09:11:59.288390","141.9337663221357"
"2023-03-24 09:12:00.308396","141.0611304732553"
"2023-03-24 09:12:01.318778","140.9764880956154"
"2023-03-24 09:12:02.328298","134.8710840234079"
"2023-03-24 09:12:03.340744","136.07201339324195"
"2023-03-24 09:12:04.350794","136.82265281604182"
"2023-03-24 09:12:05.361037","137.87740042841415"
"2023-03-24 09:12:06.371009","137.54147729838704"
"2023-03-24 09:12:07.382727","138.1699157392094"
"2023-03-24 09:12:08.392299","137.54470450455267"
"2023-03-24 09:12:09.412087","137.65937907440815"
"2023-03-24 09:12:10.428691","137.30650042918083"
"2023-03-24 09:12:11.439641","136.63724622840317"
"2023-03-24 09:12:12.448694","137.00316328667762"
"2023-03-24 09:12:13.459534","136.22902167867278"
"2023-03-24 09:12:14.468534","136.96929335586591"
"2023-03-24 09:12:15.479219","145.27969681117827"
"2023-03-24 09:12:16.490453","146.33250866393107"
"2023-03-24 09:12:17.502060","106.12544982571136"
"2023-03-24 09:12:18.512629","33.738679224877586"
"2023-03-24 09:12:19.524286","38.46691872970684"
"2023-03-24 09:12:20.534892","61.22107716485589"
"2023-03-24 09:12:21.552522","66.23181040295282"
"2023-03-24 09:12:22.563314","68.27222490684761"
"2023-03-24 09:12:23.574383","68.39427635514298"
"2023-03-24 09:12:24.584291","68.0679902924016"
"2023-03-24 09:12:25.594856","68.1259806792227"
"2023-03-24 09:12:26.607051","68.11456269694106"
"2023-03-24 09:12:27.617125","67.95302602332565"
"2023-03-24 09:12:28.627795","68.00052799879279"
"2023-03-24 09:12:29.636666","67.70845845977232"
"2023-03-24 09:12:30.647479","79.49204605368868"
"2023-03-24 09:12:31.657857","73.51178714753183"
"2023-03-24 09:12:32.667081","172.2937720555399"
"2023-03-24 09:12:33.677998","140.6921841950862"
